"gpio","existing_waveshare_function","available_externally","direction","voltage_level","boot_strapping_restrictions","shared_peripherals","chosen_retrodrive_function","reason_for_selection","source","verification_status"
"GPIO13","SD MISO","no general-purpose external terminal","input","3.3 V logic","not a strap","SD MISO","SD MISO","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO14","LCD B3","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD B3","LCD B3","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO15","CAN TX","CAN terminals through PHY; no bare GPIO","output","3.3 V logic","not a strap","CAN TX","CAN TX","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO16","CAN RX","CAN terminals through PHY; no bare GPIO","input","3.3 V logic","not a strap","CAN RX","CAN RX","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO17","LCD B6","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD B6","LCD B6","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO18","LCD B5","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD B5","LCD B5","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO19","USB D-","USB connector only","bidirectional","USB electrical domain","not a strap","USB D-","USB D-","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO20","USB D+","USB connector only","bidirectional","USB electrical domain","not a strap","USB D+","USB D+","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO21","LCD G7","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD G7","LCD G7","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO38","LCD B4","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD B4","LCD B4","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO39","LCD G2","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD G2","LCD G2","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO40","LCD R7","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD R7","LCD R7","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO41","LCD R6","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD R6","LCD R6","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO42","LCD R5","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD R5","LCD R5","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO43","RS485 RXD","RS485 terminals through PHY; no bare UART","input","3.3 V logic","not a strap","RS485 RXD","RS485 RXD","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO44","RS485 TXD","RS485 terminals through PHY; no bare UART","output","3.3 V logic","not a strap","RS485 TXD","RS485 TXD","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO45","LCD G4","no general-purpose external terminal","output","3.3 V logic","STRAPPING; preserve board reset levels","LCD G4","LCD G4","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO46","LCD HSYNC","no general-purpose external terminal","output","3.3 V logic","STRAPPING; preserve board reset levels","LCD HSYNC","LCD HSYNC","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO47","LCD G6","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD G6","LCD G6","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO48","LCD G5","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD G5","LCD G5","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO26","module memory/internal","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO27","module memory/internal","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO28","module memory/internal","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO29","module memory/internal","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO30","module memory/internal","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO31","module memory/internal","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO32","module memory/internal","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO33","module memory/internal","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO34","module memory/internal","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO35","octal PSRAM","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO36","octal PSRAM","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO37","octal PSRAM","no","internal","memory domain","not assigned","flash/PSRAM","reserved","memory must remain intact","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf sections 2-3","reserved"
"GPIO22-25","not GPIOs on ESP32-S3","no","none","none","none","none","none","not assignable","https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","not_present"
"EXIO0","DI0","conditioned terminal only","input","3.3 V chip side; conditioned I/O at terminal","CH422G not ESP32 GPIO","shared I2C8/9","DI0","retain vendor controls; unsuitable UART/I2S","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1","source_confirmed_unit_unverified"
"EXIO1","CTP reset","no","output","3.3 V chip side; conditioned I/O at terminal","CH422G not ESP32 GPIO","shared I2C8/9","CTP reset","retain vendor controls; unsuitable UART/I2S","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1","source_confirmed_unit_unverified"
"EXIO2","backlight DISP","no","output","3.3 V chip side; conditioned I/O at terminal","CH422G not ESP32 GPIO","shared I2C8/9","backlight DISP","retain vendor controls; unsuitable UART/I2S","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1","source_confirmed_unit_unverified"
"EXIO3","LCD reset","no","output","3.3 V chip side; conditioned I/O at terminal","CH422G not ESP32 GPIO","shared I2C8/9","LCD reset","retain vendor controls; unsuitable UART/I2S","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1","source_confirmed_unit_unverified"
"EXIO4","SD CS","no","output","3.3 V chip side; conditioned I/O at terminal","CH422G not ESP32 GPIO","shared I2C8/9","SD CS","retain vendor controls; unsuitable UART/I2S","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1","source_confirmed_unit_unverified"
"EXIO5","DI1","conditioned terminal only","input","3.3 V chip side; conditioned I/O at terminal","CH422G not ESP32 GPIO","shared I2C8/9","DI1","retain vendor controls; unsuitable UART/I2S","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1","source_confirmed_unit_unverified"
"OD0","DO0","conditioned terminal only","output","3.3 V chip side; conditioned I/O at terminal","CH422G not ESP32 GPIO","shared I2C8/9","DO0","retain vendor controls; unsuitable UART/I2S","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1","source_confirmed_unit_unverified"
"OD1","DO1","conditioned terminal only","output","3.3 V chip side; conditioned I/O at terminal","CH422G not ESP32 GPIO","shared I2C8/9","DO1","retain vendor controls; unsuitable UART/I2S","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1","source_confirmed_unit_unverified"
